UniqueID,Course,Title,Edition,Year,Author,ISBN,Alternate ISBNs,MMS ID,Call number,Barcode,Current Status,New/Returning/Past Semester,UMCP copy?,Notes,Comment,Branch Location
TopTextFall24.25,HIST 205,Fordlandia: The Rise and Fall of Henry Ford's Forgotten Jungle City,Illustrated,2010,"Grandin, Greg",9780312429621,,990063476620108238,HIST205/Fordlandia,31430060493188,On Shelf,,N,,,CPMCK
TopTextFall24.26,HIST 205,Floating Coast: An Environmental History of the Bering Stait,,2019,Bathsheba Demuth,9780393635164,,990063476620108238,HIST205/Floating Coast,31430059574949,Recalled,,Y,,,CPMCK
TopTextFall24.27,HIST 211,"American Women's Movement, 1945-2000",,2009,"Maclean, Nancy",9780312448011,,990063476620108238,HIST211/American Women's Movement,31430054382249,,,Y,,,CPMCK
TopTextFall24.28,HIST 289A,Medieval Iberia,2nd,2012,"Constable, Olivia Remie",9780812221688,,990063476620108238,HIST289A/Medieval Iberia,31430060334275,,,Y,,,CPMCK
TopTextFall24.29,HIST 289N,Controlling Reproduction : An American History,,1997,"Tone, Andrea",9780842025751,,990063476620108238,HIST289N/Controlling Reproduction,31430040568463,On Shelf,,Y,,,CPMCK
TopTextFall24.30,HIST 289N,Desired Past: A Short History of Same-Sex Love in America,,1999,"Rupp, Leila J.",9780226731568,,990063476620108238,HIST289N/Desired Past,31430047244043,,,Y,Reported missing - need to order,,CPMCK
TopTextFall24.31,HLSA 740,Strategic Healthcare Management: Planning and Execution,2nd,2018,Stephen Walston,9781567939606,"9781567939613, 9781567939637",990063476620108238,HLSA740/Strategic Healthcare Management,,ebook,,Y,[RECHECK AVAILABILITY] (Checked 8/22/2024) https://search.ebscohost.com/login.aspx?direct=true&db=nlebk&AN=1839061&site=ehost-live,"This title is  available as an ebook at this <a href=""https://search.ebscohost.com/login.aspx?direct=true&db=nlebk&AN=1839061&site=ehost-live"">link</a>",CPMCK
TopTextFall24.32,KNES 350,Psychology of Exercise: Integrating Theory and Practice,5th,2019,"Lox, Curt; Martin Ginis, Kathleen; Gainforth, Heather; Petruzzello, Steven",9780367186807,,990063476620108238,KNES350/Psychology of Exercise,31430060876051,On Shelf,,N,,,CPMCK
TopTextFall24.33,LBSC 602,Librarian's Guide to Online Searching: Cultivating Database Skills for Research and Instruction,6th,2021,"Brown, Christopher",9781440878237,,990063476620108238,LBSC602/Librarian's Guide to Online Searching,31430060875970,On Shelf,,N,,,CPMCK
TopTextFall24.34,LBSC 631,Management Basics for Information Professionals,4th,2020,"Evans, G. Edward / Greenwell, Stacey",9780838918739,,990063476620108238,LBSC631/Management Basics for Info Professionals,,ebook,,Y,https://ebookcentral.proquest.com/lib/umdcp/detail.action?docID=6145896,"This title is  available as an ebook at this <a href=""https://ebookcentral.proquest.com/lib/umdcp/detail.action?docID=6145896"">link</a>",CPMCK
